Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.9357837406256238,0.9384331444878796,0.9357837406256238,0.9341811272121585
Gaussian Naive Bayes,0.8680886252815877,0.8671249229629714,0.8680886252815877,0.8675049689206275
Decision Tree,0.9490718298212096,0.9490991629603716,0.9490718298212096,0.949085074148175
Random Forest,0.9602783084775728,0.9601784519332895,0.9602783084775728,0.9600786621204277
XGBoost,0.9593943368787248,0.9592695831876872,0.9593943368787248,0.9592126027519859
Isolation Forest,0.6703641392682996,0.6166205751774975,0.6703641392682996,0.6075022154385535
